Date;Time;Temperature;Humidity;Atm.Pressure;Longitude;Latitude;AVG Sound level;MIN Sound level;MAX Sound level
1980/01/06 ;00:00:51.00050;24.10;37.64;995.20;0.00;0.00;106;2;286
1980/01/06 ;00:01:51.00050;24.11;37.71;995.18;0.00;0.00;132;27;375
1980/01/06 ;00:02:52.00050;24.12;39.63;995.22;0.00;0.00;199;42;368
1980/01/06 ;00:03:52.00051;24.13;37.83;995.17;0.00;0.00;151;72;293
1980/01/06 ;00:04:52.00051;24.11;37.93;995.14;0.00;0.00;132;35;232
1980/01/06 ;00:00:51.00052;24.11;38.05;995.15;0.00;0.00;95;21;306
1980/01/06 ;00:01:51.00052;24.11;38.21;995.14;0.00;0.00;172;50;318
1980/01/06 ;00:02:52.00050;24.14;38.25;995.12;0.00;0.00;216;55;479
1980/01/06 ;00:03:52.00052;24.15;38.36;995.11;0.00;0.00;182;52;317
1980/01/06 ;00:04:52.00051;24.23;38.34;995.11;0.00;0.00;122;-406;316
1980/01/06 ;00:05:53.00052;24.23;38.34;995.08;0.00;0.00;247;97;474
1980/01/06 ;00:06:48.00052;24.23;38.46;995.08;0.00;0.00;208;86;400
1980/01/06 ;00:07:48.00052;24.24;38.52;995.03;0.00;0.00;189;14;382
1980/01/06 ;00:08:49.00051;24.25;38.53;995.03;0.00;0.00;128;13;239
1980/01/06 ;00:09:49.00051;24.25;38.64;995.01;0.00;0.00;163;22;413
1980/01/06 ;00:10:50.00051;24.24;38.71;995.02;0.00;0.00;165;61;411
1980/01/06 ;00:11:50.00052;24.23;38.80;995.01;0.00;0.00;167;55;392
1980/01/06 ;00:12:50.00052;24.23;38.92;994.99;0.00;0.00;188;54;337
1980/01/06 ;00:13:51.00050;24.23;39.04;994.99;0.00;0.00;128;13;342
1980/01/06 ;00:14:46.00050;24.23;39.10;995.03;0.00;0.00;189;54;394
1980/01/06 ;00:15:46.00052;24.24;39.15;995.02;0.00;0.00;130;8;354
1980/01/06 ;00:16:47.00051;24.28;39.12;995.03;0.00;0.00;150;44;332
2019/02/27 ;20:10:33.00055;24.29;39.16;995.00;0.00;0.00;139;24;434
2019/02/27 ;20:11:34.00053;24.30;39.16;995.01;0.00;0.00;141;36;266
2019/02/27 ;20:12:34.00054;24.31;39.22;995.02;0.00;0.00;200;64;417
2019/02/27 ;20:13:35.00055;24.29;39.36;995.00;0.00;0.00;114;46;224
2019/02/27 ;20:14:35.00054;24.31;39.38;994.99;0.00;0.00;135;17;386
2019/02/27 ;20:15:30.00056;24.33;39.41;994.96;0.00;0.00;129;33;356
2019/02/27 ;20:16:31.00055;24.33;39.42;994.95;0.00;0.00;163;41;401
2019/02/27 ;20:17:31.00054;24.34;39.46;994.91;0.00;0.00;144;62;354
2019/02/27 ;20:18:33.00054;24.35;39.42;994.87;0.00;0.00;151;11;442
2019/02/27 ;20:19:33.00054;24.37;39.48;994.88;0.00;0.00;132;18;266
2019/02/27 ;20:20:33.00054;24.37;39.38;994.88;0.00;0.00;153;9;455
2019/02/27 ;20:21:29.00056;24.37;39.43;994.86;0.00;0.00;161;45;357
2019/02/27 ;20:22:29.00056;24.39;39.54;994.86;0.00;0.00;143;47;385
2019/02/27 ;20:23:29.00055;24.39;39.62;994.88;0.00;0.00;175;44;362
2019/02/27 ;20:24:30.00056;24.39;39.66;994.84;0.00;0.00;115;25;327
2019/02/27 ;20:25:30.00056;24.41;39.57;994.91;0.00;0.00;166;45;346
2019/02/27 ;20:26:31.00053;24.40;39.78;994.89;0.00;0.00;181;40;468
2019/02/27 ;20:27:31.00054;24.39;39.74;994.90;0.00;0.00;178;39;405
2019/02/27 ;20:28:31.00054;24.57;39.52;994.85;0.00;0.00;180;34;432
2019/02/27 ;20:29:27.00056;25.26;38.86;994.91;0.00;0.00;137;-463;315
2019/02/27 ;20:30:27.00053;24.88;38.71;994.84;0.00;0.00;149;39;269
2019/02/27 ;20:31:27.00055;24.70;39.27;994.86;0.00;0.00;125;41;274
2019/02/27 ;20:32:28.00055;24.61;39.39;994.81;0.00;0.00;141;43;330
2019/02/27 ;20:33:28.00056;24.57;39.49;994.83;0.00;0.00;165;21;318
2019/02/27 ;20:34:29.00055;24.56;39.67;994.82;0.00;0.00;147;45;369
2019/02/27 ;20:35:29.00053;24.52;39.71;994.82;0.00;0.00;213;66;414
2019/02/27 ;20:36:29.00054;24.54;39.70;994.83;0.00;0.00;141;46;323
2019/02/27 ;20:37:25.00054;24.53;39.59;994.85;0.00;0.00;191;64;376
2019/02/27 ;20:38:25.00056;24.55;39.82;994.83;0.00;0.00;113;-434;281
2019/02/27 ;20:39:25.00056;24.55;39.82;994.84;0.00;0.00;184;26;387
2019/02/27 ;20:40:26.00055;24.71;42.58;994.81;0.00;0.00;178;38;344
2019/02/27 ;20:41:26.00061;24.70;39.79;994.80;0.00;0.00;190;30;519
2019/02/27 ;20:42:26.00054;24.54;39.90;994.76;0.00;0.00;108;-473;370
2019/02/27 ;20:43:23.00054;24.44;39.94;994.76;0.00;0.00;165;45;308
2019/02/27 ;20:44:23.00054;24.47;39.68;994.76;0.00;0.00;184;61;320
2019/02/27 ;20:45:24.00053;24.53;39.72;994.75;0.00;0.00;112;26;355
2019/02/27 ;20:46:24.00054;24.62;39.92;994.72;0.00;0.00;166;11;424
2019/02/27 ;20:47:25.00055;24.62;39.54;994.69;0.00;0.00;94;9;183
2019/02/27 ;20:48:25.00055;24.60;39.73;994.66;0.00;0.00;73;15;162
2019/02/27 ;20:49:25.00053;24.62;39.56;994.62;0.00;0.00;63;34;124
2019/02/27 ;20:50:26.00054;24.62;39.27;994.65;0.00;0.00;30;-529;157
2019/02/27 ;20:51:21.00055;24.67;39.49;994.64;0.00;0.00;83;6;230
2019/02/27 ;20:52:21.00056;24.67;39.35;994.63;0.00;0.00;80;38;153
2019/02/27 ;20:53:22.00054;24.67;39.68;994.63;0.00;0.00;45;-526;204
2019/02/27 ;20:54:22.00056;24.66;39.57;994.63;0.00;0.00;89;24;178
1980/01/06 ;00:00:51.00050;23.29;54.83;983.97;0.00;0.00;70;16;137
1980/01/06 ;00:01:51.00052;23.73;54.12;983.91;0.00;0.00;112;29;177
1980/01/06 ;00:02:52.00052;23.90;53.73;983.89;0.00;0.00;123;69;178
1980/01/06 ;00:03:52.00051;24.01;53.36;983.97;0.00;0.00;149;92;198
1980/01/06 ;00:04:52.00050;24.11;53.00;984.01;0.00;0.00;141;57;283
1980/01/06 ;00:05:53.00050;24.17;52.95;983.99;0.00;0.00;130;36;232
1980/01/06 ;00:06:48.00051;24.26;52.70;983.97;0.00;0.00;130;43;234
1980/01/06 ;00:07:49.00050;24.32;52.64;984.03;0.00;0.00;124;42;258
1980/01/06 ;00:08:49.00052;24.34;52.70;984.04;0.00;0.00;129;78;194
1980/01/06 ;00:09:50.00051;24.30;52.74;984.05;0.00;0.00;148;50;286
1980/01/06 ;00:10:50.00051;24.34;52.49;984.07;0.00;0.00;117;64;201
1980/01/06 ;00:11:51.00052;24.32;52.61;984.06;0.00;0.00;122;60;205
1980/01/06 ;00:12:51.00050;24.32;52.62;984.04;0.00;0.00;171;41;456
1980/01/06 ;00:13:47.00050;24.32;52.59;984.04;0.00;0.00;112;67;165
1980/01/06 ;00:14:48.00052;24.28;52.72;984.08;0.00;0.00;113;73;190
1980/01/06 ;00:15:48.00051;24.28;52.64;984.02;0.00;0.00;74;-542;242
1980/01/06 ;00:16:49.00051;24.32;52.50;984.07;0.00;0.00;121;32;196
1980/01/06 ;00:17:49.00052;24.31;52.48;984.11;0.00;0.00;143;76;226
1980/01/06 ;00:18:50.00061;24.30;52.43;984.08;0.00;0.00;132;50;206
1980/01/06 ;00:19:45.00057;24.32;52.38;984.11;0.00;0.00;133;74;214
1980/01/06 ;00:20:46.00063;24.31;52.36;984.13;0.00;0.00;148;54;216
1980/01/06 ;00:21:46.00062;24.30;52.18;984.13;0.00;0.00;161;67;307
1980/01/06 ;00:22:47.00053;24.31;52.31;984.13;0.00;0.00;97;20;279
1980/01/06 ;00:23:47.00050;24.32;52.27;984.15;0.00;0.00;134;59;251
1980/01/06 ;00:24:48.00051;24.33;52.32;984.18;0.00;0.00;107;39;213
1980/01/06 ;00:00:35.00052;24.37;52.20;984.13;0.00;0.00;133;42;251
1980/01/06 ;00:01:36.00050;24.35;52.27;984.18;0.00;0.00;131;21;245
1980/01/06 ;00:02:36.00051;24.34;52.30;984.16;0.00;0.00;127;59;211
